,month_num,day,balance
42591,1,6,863
42592,1,6,814
42593,1,7,363
42594,1,7,212
42595,1,7,891
42596,1,7,212
42597,1,8,315
42598,1,8,843
42599,1,8,302
42600,1,8,2795
42601,1,8,8
42602,1,11,139
42603,1,11,1044
42604,1,11,1633
42605,1,11,6513
42606,1,11,102
42607,1,11,1388
42608,1,11,3230
42609,1,11,486
42610,1,11,93
42611,1,11,4645
42612,1,11,1430
42613,1,11,323
42614,1,12,1097
42615,1,12,14
42616,1,12,300
42617,1,12,585
42618,1,12,0
42619,1,12,1934
42620,1,12,15
42621,1,12,1639
42622,1,12,6447
42623,1,12,147
42624,1,12,2544
42625,1,12,0
42626,1,12,4859
42627,1,12,168
42628,1,12,2007
42629,1,12,3696
42630,1,12,2166
42631,1,12,4579
42632,1,12,180
42633,1,12,1093
42634,1,12,2488
42635,1,12,2190
42636,1,13,6718
42637,1,13,254
42638,1,13,1962
42639,1,13,1579
42640,1,13,2139
42641,1,13,253
42642,1,13,4692
42643,1,13,330
42644,1,13,938
42645,1,13,5372
42646,1,13,71
42647,1,13,3176
42648,1,13,5142
42649,1,13,496
42650,1,13,1468
42651,1,13,434
42652,1,13,687
42653,1,13,3816
42654,1,14,270
42655,1,14,0
42656,1,14,482
42657,1,14,180
42658,1,14,4198
42659,1,14,423
42660,1,14,78
42661,1,14,817
42662,1,14,0
42663,1,14,517
42664,1,14,5021
42665,1,14,51
42666,1,14,1569
42667,1,14,592
42668,1,14,991
42669,1,14,133
42670,1,14,471
42671,1,14,768
42672,1,14,11387
42673,1,14,536
42674,1,14,739
42675,1,14,2955
42676,1,14,366
42677,1,15,979
42678,1,15,2939
42679,1,15,0
42680,1,15,0
42681,1,15,2173
42682,1,15,282
42683,1,15,4803
42684,1,15,7803
42685,1,15,154
42686,1,15,1099
42687,1,15,226
42688,1,15,720
42689,1,15,1830
42690,1,15,1255
42691,1,18,893
42692,1,18,1318
42693,1,18,8556
42694,1,18,327
42695,1,18,167
42696,1,18,588
42697,1,18,994
42698,1,18,2245
42699,1,18,820
42700,1,18,539
42701,1,18,423
42702,1,18,1528
42703,1,18,203
42704,1,18,3053
42705,1,18,103
42706,1,22,460
42707,1,25,1693
42708,1,25,383
42709,1,25,2991
42710,1,25,86
42711,1,25,243
42712,1,25,1802
42713,1,25,2163
42714,1,25,2575
42715,1,25,307
42716,1,25,5969
42717,1,25,13546
42718,1,25,2855
42719,1,25,2015
42720,1,25,323
42721,1,25,2716
42722,1,25,474
42723,1,25,203
42724,1,25,7005
42725,1,26,689
42726,1,26,3096
42727,1,26,775
42728,1,26,0
42729,1,26,1108
42730,1,26,4112
42731,1,26,935
42732,1,26,0
42733,1,26,2144
42734,1,26,1167
42735,1,26,2556
42736,1,27,255
42737,1,27,243
42738,1,27,746
42739,1,27,942
42740,1,27,0
42741,1,27,6
42742,1,27,0
42743,1,27,1180
42744,1,27,992
42745,1,27,70
42746,1,27,831
42747,1,27,353
42748,1,27,4629
42749,1,27,319
42750,1,27,829
42751,1,27,51
42752,1,27,2626
42753,1,27,4572
42754,1,27,0
42755,1,27,0
42756,1,27,2776
42757,1,27,614
27729,1,28,2143
27730,1,28,378
27731,1,28,654
27732,1,28,0
27733,1,28,1076
27734,1,28,13
27735,1,28,805
27736,1,28,609
27737,1,28,641
27738,1,28,574
27739,1,28,759
27740,1,28,87
27741,1,28,266
27742,1,28,1
27743,1,28,-232
27744,1,28,1358
27745,1,28,167
27746,1,28,-607
27747,1,28,5
27748,1,28,-593
27749,1,28,2725
27750,1,28,70
27751,1,28,774
27752,1,28,316
27753,1,28,323
27754,1,28,1431
27755,1,28,626
27756,1,28,13
27757,1,28,2017
27758,1,28,67
27759,1,28,589
27760,1,28,8025
27761,1,28,0
27762,1,28,459
27763,1,28,4
27764,1,28,3064
27765,1,28,814
27766,1,28,188
27767,1,28,260
27768,1,28,699
27769,1,28,8
27770,1,28,127
27771,1,28,511
27772,1,28,965
27773,1,28,651
27774,1,28,464
27775,1,28,451
27776,1,28,6248
27777,1,28,808
27778,1,28,392
27779,1,28,1068
27780,1,28,-354
27781,1,28,8
27782,1,28,57
27783,1,28,285
27784,1,28,865
27785,1,28,356
27786,1,28,-76
27787,1,28,1678
27788,1,28,25
27789,1,28,557
27790,1,28,3662
27791,1,28,362
27792,1,28,393
27793,1,28,1572
27794,1,28,344
27795,1,28,3049
27796,1,28,741
27797,1,28,226
27798,1,28,1096
27799,1,28,589
27800,1,28,254
27801,1,28,0
27802,1,28,460
27803,1,28,1309
27804,1,28,823
27805,1,28,28
